ID,Utterance,Speaker,Dialogue_ID,Wav_Path,Label
7547,난 진짜 그거 다 들어주는 사람들 이해가 안 되더라.,User052F,Sess26_script05,./ETRI/KEMDy20_v1_1/wav/Session26/Sess26_script05_User052F_022.wav,angry
11511,"응 으응 어어 그때가, 그때가 더 재밌다.",User074F,Sess37_script05,./ETRI/KEMDy20_v1_1/wav/Session37/Sess37_script05_User074F_021.wav,neutral
11369,지금 지금은 또 틀린데.,User073F,Sess37_script02,./ETRI/KEMDy20_v1_1/wav/Session37/Sess37_script02_User073F_022.wav,neutral
11537,"나는 말이야,  전에 보면은 그 은혜가  어어어어 걔가 보면 남자친구가 이제 친구들 하고 뭐 아는 사람들을 이제 소개해 주려고 불렀어.",User074F,Sess37_script06,./ETRI/KEMDy20_v1_1/wav/Session37/Sess37_script06_User074F_001.wav,happy
7364,"그니까 나는 그래 A, AI 스피커든 뭐 AI 기능이 들어간 그 가전제품들이 참 우리 일상생활에서 도움을 많이 준다고 생각해.",User051M,Sess26_script01,./ETRI/KEMDy20_v1_1/wav/Session26/Sess26_script01_User051M_013.wav,neutral
3389,어 나는 솔직히 음 그것도 재밌긴 했었어.,User025F,Sess13_script01,./ETRI/KEMDy20_v1_1/wav/Session13/Sess13_script01_User025F_012.wav,neutral
9709,그래서 줬어?,User063M,Sess32_script04,./ETRI/KEMDy20_v1_1/wav/Session32/Sess32_script04_User063M_005.wav,neutral
1216,근데 나도 그래.,User008F,Sess04_script05,./ETRI/KEMDy20_v1_1/wav/Session04/Sess04_script05_User008F_031.wav,neutral
5281,"몰라 항상 그래서 유재석이 런닝맨 가면 이광, 이광수 갈구는 맛으로 살잖아.",User037M,Sess19_script03,./ETRI/KEMDy20_v1_1/wav/Session19/Sess19_script03_User037M_025.wav,neutral
13169,내가 코를  예를 들어서  이렇게  어이구 뭐지 하면서 어 나 코 골았나 막 이런 거. ,User083F,Sess17_script01,./ETRI/KEMDy20_v1_1/wav/Session17/Sess17_script01_User083F_022.wav,happy
6893,옛날에 내가 그거 그 그 뭐냐.,User049M,Sess25_script01,./ETRI/KEMDy20_v1_1/wav/Session25/Sess25_script01_User049M_011.wav,neutral
8911,근데 갑자기 깨진 거야.,User042F,Sess21_script04,./ETRI/KEMDy20_v1_1/wav/Session21/Sess21_script04_User042F_008.wav,neutral
13199, 근데 그 중에 최악은 지금이야.,User084F,Sess17_script02,./ETRI/KEMDy20_v1_1/wav/Session17/Sess17_script02_User084F_022.wav,neutral
7221,그니까 그게 지니 이런 거 말하는 거지?,User050F,Sess25_script05,./ETRI/KEMDy20_v1_1/wav/Session25/Sess25_script05_User050F_023.wav,neutral
2848,"근데 어디서 자꾸  어디서 자꾸 어느 마이크에서 자꾸 이상한 소리가 들려, 애들이 야 이게 무슨 소리냐 이거 무슨 소리지 무슨 소리지 하다가 결국엔 수지 마이크에서 수지는 대답이 없는데  계속 무슨 천둥소리가 들려가지고 야 이거 레전드다. ",User019F,Sess10_script03,./ETRI/KEMDy20_v1_1/wav/Session10/Sess10_script03_User019F_032.wav,happy
6938,어 예진아씨.,User050F,Sess25_script01,./ETRI/KEMDy20_v1_1/wav/Session25/Sess25_script01_User050F_023.wav,neutral
11845," 그니까 여성에 사회적 진출이 이제 늦었지, 여성 인권이 그전에는 낮았으니까 근데 점점 올라오고 이제 곧 다들 고학력이 되고 우리 부모님 우리 부모에 할머님 세대들은 뭐 대학 간 사람 여자들이 거의 없었고 뭐 고 심지어는 막 고등학교, 중학교도 잘 안 갔던 상황이지만 지금 여성들이 전체적으로 다 그 고학력이고 오히려 더 학력이 더 높고 공부를 더 잘하다 보니까 점점 이런 그 성차별적인 문제는 해소되지 않을까라고 생각은 하고 있어.",User075M,Sess38_script06,./ETRI/KEMDy20_v1_1/wav/Session38/Sess38_script06_User075M_010.wav,neutral
5094,으윽 엄청 아팠겠다.,User035M,Sess18_script06,./ETRI/KEMDy20_v1_1/wav/Session18/Sess18_script06_User035M_002.wav,disqust
5486,"아 뭐 그럴 수 있다 쳐, 근데 그때가 일병 월급이 16만 원대였거든.",User039M,Sess20_script02,./ETRI/KEMDy20_v1_1/wav/Session20/Sess20_script02_User039M_008.wav,neutral
9327," 그때는 이제 어린 마음에 이제 그런 생각이 들었었는데 아 그렇게 하고 나니까 이제 제 감정이 되게 설레는 거예요 막, 얘한테 ",User062M,Sess31_script06,./ETRI/KEMDy20_v1_1/wav/Session31/Sess31_script06_User062M_025.wav,happy
8291,"아 나도 조심해야지, 안전벨트 꽉 매고 요 어 요새는 또 차가 좋아가지고 안전벨트 안 하면 출발 안 하는 차들이 되게 많더라고.",User057F,Sess29_script02,./ETRI/KEMDy20_v1_1/wav/Session29/Sess29_script02_User057F_025.wav,neutral
2494,입대를 17년 시월에 했고 그때 전에 사귀었던 여자친구랑 8월엔가 헤어졌어. ,User017M,Sess09_script04,./ETRI/KEMDy20_v1_1/wav/Session09/Sess09_script04_User017M_007.wav,neutral
10324,몇가지가 있는데 하나는 그 저기 우리 함라에 예비군 훈련장 있잖아.,User067M,Sess34_script02,./ETRI/KEMDy20_v1_1/wav/Session34/Sess34_script02_User067M_007.wav,neutral
2810, 그니까 어어 웬만하면은 니써 이러고 말 텐데. ,User019F,Sess10_script03,./ETRI/KEMDy20_v1_1/wav/Session10/Sess10_script03_User019F_013.wav,happy
3366, 저 영향도 있겠지만은 아직까지는 예 그렇게 느끼고 있어요.,User014M,Sess07_script06,./ETRI/KEMDy20_v1_1/wav/Session07/Sess07_script06_User014M_027.wav,neutral
1275,그래도 너무 인식 차이가 안 좋은 거 같애.,User008F,Sess04_script06,./ETRI/KEMDy20_v1_1/wav/Session04/Sess04_script06_User008F_021.wav,neutral
997, 학교에서는?,User007M,Sess04_script02,./ETRI/KEMDy20_v1_1/wav/Session04/Sess04_script02_User007M_011.wav,neutral
3624, 저도 이제 4학년이잖아요.,User026F,Sess13_script04,./ETRI/KEMDy20_v1_1/wav/Session13/Sess13_script04_User026F_031.wav,happy
3391,응  근데 그것도 재밌었어.,User025F,Sess13_script01,./ETRI/KEMDy20_v1_1/wav/Session13/Sess13_script01_User025F_014.wav,neutral
4376,한 여섯 달 다섯 달인가 여섯 달 만에 갔었어.,User029M,Sess15_script05,./ETRI/KEMDy20_v1_1/wav/Session15/Sess15_script05_User029M_021.wav,neutral
13163,이게 꿈으로도 조금  덜 나타나게 할려면 애들도 좀 미디어에 노출되는 시간이 좀 줄어들어야 될 거 같고 응.,User084F,Sess17_script01,./ETRI/KEMDy20_v1_1/wav/Session17/Sess17_script01_User084F_033.wav,neutral
2001,진짜 어이없어.,User016F,Sess08_script02,./ETRI/KEMDy20_v1_1/wav/Session08/Sess08_script02_User016F_034.wav,neutral
12021,그래서 막 최근에도 막 울산에 불이 나고 요즘 최근에 불 나는 게 좀 많았잖아.,User078F,Sess39_script02,./ETRI/KEMDy20_v1_1/wav/Session39/Sess39_script02_User078F_036.wav,neutral
2388,어 너는 잘 때 코 골아? ,User018M,Sess09_script03,./ETRI/KEMDy20_v1_1/wav/Session09/Sess09_script03_User018M_001.wav,neutral
4283,뭐였더라. ,User029M,Sess15_script04,./ETRI/KEMDy20_v1_1/wav/Session15/Sess15_script04_User029M_006.wav,neutral
9418,매일매일.,User064F,Sess32_script01,./ETRI/KEMDy20_v1_1/wav/Session32/Sess32_script01_User064F_024.wav,neutral
5346," 으응 뒤에서 몰라, 남 욕은 하면 안 되지만 근데  응.",User037M,Sess19_script04,./ETRI/KEMDy20_v1_1/wav/Session19/Sess19_script04_User037M_016.wav,neutral
9117,나는 막 밖에서 막 일주일 동안도 지내 봤어 가지고 집 안 들어가고. ,User061M,Sess31_script02,./ETRI/KEMDy20_v1_1/wav/Session31/Sess31_script02_User061M_012.wav,happy
8980, 그래서 불안하기 시작하는 거야.,User041F,Sess21_script05,./ETRI/KEMDy20_v1_1/wav/Session21/Sess21_script05_User041F_012.wav,neutral
13186, 예를 들면 그런 거 있잖아.,User084F,Sess17_script02,./ETRI/KEMDy20_v1_1/wav/Session17/Sess17_script02_User084F_011.wav,neutral
10314, 그 뭐야 25년도 더 더된 얘긴데.,User068M,Sess34_script02,./ETRI/KEMDy20_v1_1/wav/Session34/Sess34_script02_User068M_012.wav,neutral
3575,어 근데 꼰대라는 주제가 진짜 누구든지 요즘 다 얘기하는. ,User026F,Sess13_script04,./ETRI/KEMDy20_v1_1/wav/Session13/Sess13_script04_User026F_003.wav,neutral
9710,그래서 내가 그 추리닝 입고 있었거든.,User064F,Sess32_script04,./ETRI/KEMDy20_v1_1/wav/Session32/Sess32_script04_User064F_037.wav,neutral
7579,나도 그렇게 생각해.,User051M,Sess26_script06,./ETRI/KEMDy20_v1_1/wav/Session26/Sess26_script06_User051M_002.wav,neutral
9837,문진이 어 문제가 생기지.,User064F,Sess32_script06,./ETRI/KEMDy20_v1_1/wav/Session32/Sess32_script06_User064F_018.wav,neutral
4059,당연  당연하지  항상 그랬잖아.,User027F,Sess14_script05,./ETRI/KEMDy20_v1_1/wav/Session14/Sess14_script05_User027F_024.wav,happy
13132,넌 되게 애들한테 잘 받아주는 편이잖아.,User084F,Sess17_script01,./ETRI/KEMDy20_v1_1/wav/Session17/Sess17_script01_User084F_016.wav,neutral
10110, 군대 때 막 맨날 아 일병 상병들이 와 갖고 야 나 때는 말이야 그렇겐 안 했어  이러면서 막.,User065M,Sess33_script04,./ETRI/KEMDy20_v1_1/wav/Session33/Sess33_script04_User065M_014.wav,happy
4915, 그러고 이제 군대 가서도 이제 코를 골면서  이제 뭐 훈련소에서는 뭐 누가 터치하는 사람은 그렇게 크게 없었는데 이제 자대 배치를 받고 어 이제 선임들을 만나면서 코를 골 때.,User035M,Sess18_script01,./ETRI/KEMDy20_v1_1/wav/Session18/Sess18_script01_User035M_004.wav,neutral
7227,"그래, 지니도 되잖아.",User050F,Sess25_script05,./ETRI/KEMDy20_v1_1/wav/Session25/Sess25_script05_User050F_025.wav,neutral
3944,"나도 인제 막 얘기해, 자다가 얘기하면 동생이 물어본대.",User027F,Sess14_script03,./ETRI/KEMDy20_v1_1/wav/Session14/Sess14_script03_User027F_015.wav,neutral
11853,그게 플러스 요인은 아니잖아.,User076F,Sess38_script06,./ETRI/KEMDy20_v1_1/wav/Session38/Sess38_script06_User076F_015.wav,neutral
10130,위아래 추리닝 세트 어.,User065M,Sess33_script04,./ETRI/KEMDy20_v1_1/wav/Session33/Sess33_script04_User065M_022.wav,neutral
2310,"그거다, 딱 그거다 진짜. ",User017M,Sess09_script01,./ETRI/KEMDy20_v1_1/wav/Session09/Sess09_script01_User017M_022.wav,neutral
10608,아아 하긴 뭐 죽을 일도 없고 뭐 어디 다칠 일도 없고 사고가 나도 어 멀쩡하겠네.,User068M,Sess34_script06,./ETRI/KEMDy20_v1_1/wav/Session34/Sess34_script06_User068M_024.wav,neutral
2571,뭔가 큰 공감을 와닿는 게 없었던 것 같은. ,User017M,Sess09_script05,./ETRI/KEMDy20_v1_1/wav/Session09/Sess09_script05_User017M_006.wav,neutral
9695,"그래서 아니다 좀 몇 개월 만났나 보다, 그렇게 하고 더 만나다가 내가 헤어지자고 했어.",User064F,Sess32_script04,./ETRI/KEMDy20_v1_1/wav/Session32/Sess32_script04_User064F_024.wav,neutral
6038, 그래도 엄마 밥은 계속 먹고 싶긴 해. ,User043F,Sess22_script01,./ETRI/KEMDy20_v1_1/wav/Session22/Sess22_script01_User043F_019.wav,neutral
8957, 음주운전인 것 같애.,User041F,Sess21_script04,./ETRI/KEMDy20_v1_1/wav/Session21/Sess21_script04_User041F_028.wav,neutral
8146,근데 한 10분에서 20분 일찍 나오라는 거야.,User055M,Sess28_script06,./ETRI/KEMDy20_v1_1/wav/Session28/Sess28_script06_User055M_010.wav,neutral
1890,근데  그때 진짜 레전드 다 찍었어. ,User015F,Sess08_script01,./ETRI/KEMDy20_v1_1/wav/Session08/Sess08_script01_User015F_013.wav,neutral
9112,진짜  막 아버지 보면은 참 답도 안 나온다.,User061M,Sess31_script02,./ETRI/KEMDy20_v1_1/wav/Session31/Sess31_script02_User061M_007.wav,neutral
10285,난 어릴 때보다 얼마 전에 그 차 샀으니까 요즘 그 주말마다 어머니랑 드라이브 가잖아요.,User068M,Sess34_script01,./ETRI/KEMDy20_v1_1/wav/Session34/Sess34_script01_User068M_016.wav,happy
12179,가끔씩 엄마가 그리고 시켜.,User077F,Sess39_script05,./ETRI/KEMDy20_v1_1/wav/Session39/Sess39_script05_User077F_014.wav,neutral
3117,아 전 똥  똥차는 아닌데 그니까 제가 이런 그런 상황이 똥  이걸 똥차라고 불러야 될지 모르겠는데 너무 여자친구가 너무 저한테 좀 안 좋게 해서 제가 일방적으로 잠수 이별? ,User013M,Sess07_script02,./ETRI/KEMDy20_v1_1/wav/Session07/Sess07_script02_User013M_008.wav,neutral
13423,"그렇게 좀 희미하게 가는데  지갑을 놓고 와서, 집에 이제 지갑을 가지고 와야 되니까 모현동이었거든.",User084F,Sess17_script06,./ETRI/KEMDy20_v1_1/wav/Session17/Sess17_script06_User084F_020.wav,neutral
499, 그게 위로에 말이 될 수는 있죠.,User003F,Sess02_script05,./ETRI/KEMDy20_v1_1/wav/Session02/Sess02_script05_User003F_005.wav,neutral
10520,잠을 들었는데 막 그 하루 일과가 꿈속에서 다 나타난 거여.,User068M,Sess34_script05,./ETRI/KEMDy20_v1_1/wav/Session34/Sess34_script05_User068M_016.wav,neutral
7334,그니까 뭔가 더 필요한 능력들이 남자들한테 남자랑 여자랑 좀 다르니까 뭐 힘을 쓴다거나.,User049M,Sess25_script06,./ETRI/KEMDy20_v1_1/wav/Session25/Sess25_script06_User049M_039.wav,neutral
4054,뭐 고등학교 때는 이제 도저히 답이 안 나오니까 그냥 저 기숙사 학교로 넣은 거 같은데.  ,User028M,Sess14_script05,./ETRI/KEMDy20_v1_1/wav/Session14/Sess14_script05_User028M_016.wav,happy
5470,그 밥은 얼마나 얻어 드신 거예요. ,User040M,Sess20_script01,./ETRI/KEMDy20_v1_1/wav/Session20/Sess20_script01_User040M_009.wav,neutral
7226, 짱구야 뭐 짱구야 뭐 TV 틀어줘 이러면 TV 틀어 주고 그 나갈.,User049M,Sess25_script05,./ETRI/KEMDy20_v1_1/wav/Session25/Sess25_script05_User049M_026.wav,neutral
3298,그니까 음 어떻게 보면은 어린 사람한테 말하게 되면은 그니까 제 입장에서 볼 때.,User013M,Sess07_script05,./ETRI/KEMDy20_v1_1/wav/Session07/Sess07_script05_User013M_019.wav,neutral
2906,"맞지, 그런  그런 느낌이 많이 들지. ",User020M,Sess10_script04,./ETRI/KEMDy20_v1_1/wav/Session10/Sess10_script04_User020M_020.wav,neutral
2297,뭔가 그 밤 느낌이 확 있어.,User017M,Sess09_script01,./ETRI/KEMDy20_v1_1/wav/Session09/Sess09_script01_User017M_016.wav,neutral
5126, 난 안고는 거 같대.,User037M,Sess19_script01,./ETRI/KEMDy20_v1_1/wav/Session19/Sess19_script01_User037M_004.wav,neutral
1318,요즘 나도 뭐냐 또 자 뭐냐 코 많이 골아?,User009M,Sess05_script01,./ETRI/KEMDy20_v1_1/wav/Session05/Sess05_script01_User009M_024.wav,neutral
523, 내가 어느 정도 여기에 기여를 못 했나라는 걸 생각하면서 이제 스스로 그냥 그냥 진짜 자위하는 거죠.,User004M,Sess02_script05,./ETRI/KEMDy20_v1_1/wav/Session02/Sess02_script05_User004M_024.wav,neutral
8142,"그러니깐요, 어우 듣기만 해도.",User056M,Sess28_script06,./ETRI/KEMDy20_v1_1/wav/Session28/Sess28_script06_User056M_003.wav,neutral
8437, 아 이런 그니까 이런 얘기 하다 하고 나면은 아 반찬투정 안 해야겠다 엄마가 해준 거 그냥 다 맛있다고 하고 맛없어도 맛있다고 하고 해야지 하면서 막상 하면은 엄마 국이 왜 이렇게 짜  이렇게 하게 되고.,User058F,Sess29_script05,./ETRI/KEMDy20_v1_1/wav/Session29/Sess29_script05_User058F_016.wav,happy
10588,"근데 요즘 진짜 고령화 시대고 혼자 사는 사람이 진짜 많잖아, 1인 가구들.",User068M,Sess34_script06,./ETRI/KEMDy20_v1_1/wav/Session34/Sess34_script06_User068M_011.wav,neutral
3851,양세형 몇 번 나왔던 거 같애.,User027F,Sess14_script01,./ETRI/KEMDy20_v1_1/wav/Session14/Sess14_script01_User027F_034.wav,neutral
7930,그럼 형은 그 뭐냐 방금 같이 모르는 사람이 이야기 건 적 있으세요?,User056M,Sess28_script01,./ETRI/KEMDy20_v1_1/wav/Session28/Sess28_script01_User056M_001.wav,neutral
6224, 그거 진짜 황당하지 않아? ,User043F,Sess22_script05,./ETRI/KEMDy20_v1_1/wav/Session22/Sess22_script05_User043F_012.wav,happy
5253, 아 맞아 이제 새로 찍는다더라.,User037M,Sess19_script03,./ETRI/KEMDy20_v1_1/wav/Session19/Sess19_script03_User037M_009.wav,neutral
2098, 어 그래서 되게  아.,User016F,Sess08_script04,./ETRI/KEMDy20_v1_1/wav/Session08/Sess08_script04_User016F_013.wav,neutral
9544,음 난 나가서 술 먹어야 되고. ,User063M,Sess32_script02,./ETRI/KEMDy20_v1_1/wav/Session32/Sess32_script02_User063M_025.wav,neutral
9096,나는 무한도전밖에 안 봐.,User061M,Sess31_script01,./ETRI/KEMDy20_v1_1/wav/Session31/Sess31_script01_User061M_016.wav,neutral
3354,혹시 뭐 그런 게 있나요? ,User013M,Sess07_script06,./ETRI/KEMDy20_v1_1/wav/Session07/Sess07_script06_User013M_019.wav,neutral
3897,근데 젊은 꼰대들도 굉장히 많아.,User028M,Sess14_script02,./ETRI/KEMDy20_v1_1/wav/Session14/Sess14_script02_User028M_019.wav,neutral
7317, 말은 진짜 똑똑해서 둘 다 잘 하더라.,User050F,Sess25_script06,./ETRI/KEMDy20_v1_1/wav/Session25/Sess25_script06_User050F_014.wav,neutral
8962, 그냥  거기서는 그냥 그 사람들이 자기들이 잘못했다 이랬는데 음주라고는 말을 안 하고 막 자기가 막 어디 아파트 관리하는 사람인데 막 그냥 거들먹거리는 거야.,User041F,Sess21_script04,./ETRI/KEMDy20_v1_1/wav/Session21/Sess21_script04_User041F_033.wav,neutral
9584, 어 예능감도 예능성도 있고 어.,User063M,Sess32_script03,./ETRI/KEMDy20_v1_1/wav/Session32/Sess32_script03_User063M_022.wav,neutral
706,아 아 그래?,User005M,Sess03_script03,./ETRI/KEMDy20_v1_1/wav/Session03/Sess03_script03_User005M_014.wav,neutral
6941,재밌던 거 하나 말해 봐.,User049M,Sess25_script01,./ETRI/KEMDy20_v1_1/wav/Session25/Sess25_script01_User049M_041.wav,neutral
6185, 그래 당연하지. ,User044F,Sess22_script04,./ETRI/KEMDy20_v1_1/wav/Session22/Sess22_script04_User044F_027.wav,happy
8934,"어, 이렇게 나는 이렇게 걸어가다가 옆으로 가면서 서 있는데 내 발을 이렇게 탁 치고 간 거야.",User041F,Sess21_script04,./ETRI/KEMDy20_v1_1/wav/Session21/Sess21_script04_User041F_007.wav,neutral
1948, 아무튼 그 안주 뚜껑 열었을 때 그냥 죄송하다고 해 이거 이건 논리가 없잖아.,User016F,Sess08_script02,./ETRI/KEMDy20_v1_1/wav/Session08/Sess08_script02_User016F_006.wav,neutral
3208,네 가서 이제 재밌었던 기억도 있고 막 그런 거 있잖아.,User014M,Sess07_script03,./ETRI/KEMDy20_v1_1/wav/Session07/Sess07_script03_User014M_033.wav,neutral
9352,그니까 만나고 나서 그니까 이 친구랑 어떤 이게 막 처음 사귀다 보면 막 그런 거 있잖아 막.,User061M,Sess31_script06,./ETRI/KEMDy20_v1_1/wav/Session31/Sess31_script06_User061M_016.wav,neutral
12011,"나는 이렇게 예 예민하니까 일어나서 그 나도 근데 그 그지, 한 번도 전혀 지 지진이라는 걸 경험해보지를 못했으니까 그냥 잘 모르는 그냥 살짝 흔들리면 아 그냥 집에 그 요즘에 보면  가건물 같은데 보면은 차, 근처에 차 그거 트럭 같은 거 지나가면은 흔들리잖아.",User077F,Sess39_script02,./ETRI/KEMDy20_v1_1/wav/Session39/Sess39_script02_User077F_027.wav,neutral
2346, 교수님이랑 밥 먹는 자리다 근데 뭐 편한 복장도 좋지만 거기 맨발에 슬리퍼는 웬만하 웬만히 사회 경험 없는 사람도 그거는 아니라고 생각할 거 아니야.,User018M,Sess09_script02,./ETRI/KEMDy20_v1_1/wav/Session09/Sess09_script02_User018M_013.wav,neutral
9035,대천을 갔는데   걔네가 그 상태에서 헤어진 거야.,User041F,Sess21_script06,./ETRI/KEMDy20_v1_1/wav/Session21/Sess21_script06_User041F_009.wav,neutral
4306,물론 그때도 그랬지.,User030M,Sess15_script04,./ETRI/KEMDy20_v1_1/wav/Session15/Sess15_script04_User030M_012.wav,neutral
2962,그래서 무조건 국이 있어야 되는데 어쩌 어쩌다 바빠서 국이 없으면 찬물에 김이라도 말아서 김국이라도 해먹어 무조건. ,User019F,Sess10_script05,./ETRI/KEMDy20_v1_1/wav/Session10/Sess10_script05_User019F_026.wav,neutral
11338,으응   우리 아빠도 보수적이잖아. ,User073F,Sess37_script02,./ETRI/KEMDy20_v1_1/wav/Session37/Sess37_script02_User073F_004.wav,neutral
11872, 그럼 계속 골골골골 고는 거야.,User078F,Sess39_script01,./ETRI/KEMDy20_v1_1/wav/Session39/Sess39_script01_User078F_008.wav,happy
11778,"그래서  한 예로 아빠가 흡연을 굉장히 오래 했잖아, 지금은 금연을 했지만.",User076F,Sess38_script04,./ETRI/KEMDy20_v1_1/wav/Session38/Sess38_script04_User076F_012.wav,neutral
